 ,Time Point,Measurement#,Plane#,Equivalent Diameter,Spot Count,SpotIn Coords,SpotIn Dists,SpotOut Coords,SpotOut Dists
11,CT16,7,0012,4.78896047486,2,"[(199.43084684435, 191.37587570779, 12.1678630127702), (201.548497296429, 216.199238087416, 9.78068517168006)]","[18.902543521172092, 16.94717421273758]","[(95.8252448758335, 147.693035163599, 10.06483608955), (152.490276543177, 182.209065880615, 9.93530840467692), (78.8035599355806, 139.716230953617, 10.2652894560156), (189.385406879233, 242.981308266619, 14.7254757703108), (138.354723937832, 181.055555442097, 13.86805903655)]","[93.54130635723259, 28.462537371142133, 112.32679171004905, 9.432982329357383, 42.56584389200536]"
12,CT16,7,0012,8.42202769027,3,"[(199.43084684435, 191.37587570779, 12.1678630127702), (189.385406879233, 242.981308266619, 14.7254757703108), (201.548497296429, 216.199238087416, 9.78068517168006)]","[41.09400342397721, 19.173801700084475, 48.06386334803465]","[(95.8252448758335, 147.693035163599, 10.06483608955), (152.490276543177, 182.209065880615, 9.93530840467692), (78.8035599355806, 139.716230953617, 10.2652894560156), (138.354723937832, 181.055555442097, 13.86805903655)]","[66.17113317253126, 6.139729970588549, 82.87305571184731, 19.79009918326707]"
13,CT16,8,0013,4.82923839589,2,"[(187.298181596778, 194.735045951625, 10.0546185422465), (209.20066292946, 181.825724078548, 11.2293696988453)]","[2.572960334381346, 11.41377093917305]",[],[]
14,CT16,8,0013,8.30872240011,2,"[(187.298181596778, 194.735045951625, 10.0546185422465), (209.20066292946, 181.825724078548, 11.2293696988453)]","[38.58477700409179, 30.851295107267504]",[],[]
15,CT16,17,0019,4.37760651865,2,"[(199.245928208828, 249.950391548387, 19.633060402601), (234.806831909479, 263.729878731424, 18.1638330518997)]","[11.453114453409134, 8.9611444874352]","[(155.005807703687, 177.485268332011, 16.133945243099)]",[60.20005553632768]
16,CT16,17,0019,7.4523697695,2,"[(199.245928208828, 249.950391548387, 19.633060402601), (234.806831909479, 263.729878731424, 18.1638330518997)]","[34.68622948730584, 27.673717937254843]","[(155.005807703687, 177.485268332011, 16.133945243099)]",[34.881451392036155]
17,CT16,3,0014,4.96634008167,4,"[(155.29026774087, 225.234493467181, 13.1342098419263), (136.59879337151, 178.531396469679, 12.8785967809193), (153.199883177458, 173.747772807664, 11.2730055856496), (154.960073433383, 234.44418842716, 14.0361853351201)]","[14.285984411179344, 8.027124151326602, 18.358393881052073, 5.490456817473902]","[(124.710542943501, 89.7841144986157, 14.3885352058743), (109.145973829744, 99.6278015151183, 13.798949644482), (89.2974516387249, 170.468636790464, 15.2378795498441)]","[69.25434920725911, 67.39352716546773, 37.57300844931845]"
18,CT16,3,0014,9.3539200076,4,"[(155.29026774087, 225.234493467181, 13.1342098419263), (136.59879337151, 178.531396469679, 12.8785967809193), (153.199883177458, 173.747772807664, 11.2730055856496), (154.960073433383, 234.44418842716, 14.0361853351201)]","[52.15508902262342, 35.1885226312451, 33.99506205758678, 44.72484551363516]","[(124.710542943501, 89.7841144986157, 14.3885352058743), (109.145973829744, 99.6278015151183, 13.798949644482), (89.2974516387249, 170.468636790464, 15.2378795498441)]","[52.66570313249844, 46.80486957412812, 5.528800202820725]"
19,CT16,18,0010,5.61681823886,3,"[(97.5519158965985, 154.632746181392, 11.8057919536117), (96.5357415813612, 149.799404112291, 7.56302314314601), (121.77765137594, 163.885121760797, 8.15346863948359)]","[28.49546220201899, 33.41522226710043, 6.470045330714654]","[(276.660703600988, 233.16738130269, 10.6816169512702), (241.475650642524, 212.995863324513, 10.8479391321944), (366.454783663533, 369.930243561332, 12.9624627706041), (221.749342869688, 210.976062059875, 12.477829055745)]","[162.53241187449635, 121.98985390270843, 313.20345965581294, 103.66401497179912]"
20,CT16,18,0010,9.43254609128,3,"[(97.5519158965985, 154.632746181392, 11.8057919536117), (96.5357415813612, 149.799404112291, 7.56302314314601), (121.77765137594, 163.885121760797, 8.15346863948359)]","[51.23979544067991, 51.56095978483244, 31.780585492154277]","[(276.660703600988, 233.16738130269, 10.6816169512702), (241.475650642524, 212.995863324513, 10.8479391321944), (366.454783663533, 369.930243561332, 12.9624627706041), (221.749342869688, 210.976062059875, 12.477829055745)]","[131.15740513634304, 90.8417417826155, 276.00961654996297, 71.95554459760675]"
