 ,Time Point,Measurement#,Plane#,Equivalent Diameter,Spot Count,SpotIn Coords,SpotIn Dists,SpotOut Coords,SpotOut Dists
17,CT16,3,0014,4.96634008167,1,"[(144.77360478874, 175.211491245457, 13.0644321382655)]",[12.530839471904363],[],[]
18,CT16,3,0014,9.3539200076,1,"[(144.77360478874, 175.211491245457, 13.0644321382655)]",[33.065161803744544],[],[]
19,CT16,18,0010,5.61681823886,1,"[(86.7503820721987, 128.737279313123, 10.5813898629486)]",[25.491855224347237],[],[]
20,CT16,18,0010,9.43254609128,1,"[(86.7503820721987, 128.737279313123, 10.5813898629486)]",[54.70433047049978],[],[]
21,CT16,18,0015,5.56829190189,1,"[(264.331774025761, 210.537326492739, 14.3634711518881)]",[37.8194704381298],[],[]
22,CT16,18,0015,9.64294095804,1,"[(264.331774025761, 210.537326492739, 14.3634711518881)]",[54.78750015280617],[],[]
23,CT16,6,0014,4.71997280826,2,"[(183.792057253661, 160.002977774017, 14.1464629893313), (197.764249171229, 177.851532044256, 14.0438379308126)]","[12.158181907176806, 10.777981798141509]","[(124.134349692959, 169.036318090172, 13.0434807286107), (248.814569990898, 259.014012868767, 14.6114637519569)]","[8.073229814863058, 76.52979119479669]"
24,CT16,6,0014,7.41763307544,3,"[(183.792057253661, 160.002977774017, 14.1464629893313), (124.134349692959, 169.036318090172, 13.0434807286107), (197.764249171229, 177.851532044256, 14.0438379308126)]","[29.17159670418238, 13.438376043729766, 30.180970075286204]","[(248.814569990898, 259.014012868767, 14.6114637519569)]",[43.76962315894938]
25,CT16,6,0017,4.35631568254,1,"[(192.479113637594, 246.614415901371, 16.1427111187456)]",[4.536054349461215],"[(156.871913793498, 162.624225997166, 17.2661517437383)]",[77.35285240143696]
26,CT16,6,0017,7.85822677812,1,"[(192.479113637594, 246.614415901371, 16.1427111187456)]",[32.32368845657178],"[(156.871913793498, 162.624225997166, 17.2661517437383)]",[32.450790972487425]
27,CT16,1,0010,5.24210340766,1,"[(193.151943339991, 252.933429212576, 10.0452618071492)]",[36.46689549306788],"[(144.610407285577, 241.095504060107, 9.46285748216365)]",[11.061996346926405]
28,CT16,1,0010,8.18281114713,2,"[(144.610407285577, 241.095504060107, 9.46285748216365), (193.151943339991, 252.933429212576, 10.0452618071492)]","[20.033287996059535, 50.33096782886482]",[],[]
29,CT16,1,0013,5.28674708582,0,[],[],[],[]
30,CT16,1,0013,8.03181322024,0,[],[],[],[]
31,CT16,10,0010,4.58677009846,1,"[(142.645015365599, 99.8030223990783, 9.47936751736605)]",[1.5091803621100761],[],[]
32,CT16,10,0010,7.63146721597,1,"[(142.645015365599, 99.8030223990783, 9.47936751736605)]",[34.587468874604],[],[]
33,CT16,10,0009,4.79596621609,0,[],[],"[(142.645015365599, 99.8030223990783, 9.47936751736605), (126.941053078599, 78.0547530000325, 8.41484566872714), (299.358463760985, 294.161574362246, 8.63721724752314)]","[260.5620351981301, 287.2593566105055, 12.16314555573387]"
34,CT16,10,0009,7.63789457042,1,"[(299.358463760985, 294.161574362246, 8.63721724752314)]",[13.89200009169811],"[(142.645015365599, 99.8030223990783, 9.47936751736605), (126.941053078599, 78.0547530000325, 8.41484566872714)]","[235.49893903801768, 262.27306568818886]"
35,CT16,12,0015,5.88679162762,1,"[(230.786922096368, 213.855449991282, 14.5498059626629)]",[34.76846390021307],"[(274.037095533132, 267.64410662668, 14.9673490514484)]",[18.02982280971578]
36,CT16,12,0015,10.4179786641,2,"[(274.037095533132, 267.64410662668, 14.9673490514484), (230.786922096368, 213.855449991282, 14.5498059626629)]","[26.9555538588094, 52.653511346940604]",[],[]
37,CT16,14,0011,4.81102085559,0,[],[],"[(184.513766364489, 227.428261916769, 10.3048743978269)]",[20.586158168286424]
38,CT16,14,0011,7.65883052478,1,"[(184.513766364489, 227.428261916769, 10.3048743978269)]",[10.09415290246036],[],[]
39,CT16,11,0012,5.57956528273,1,"[(95.1521238219893, 111.827719495448, 12.0250007761554)]",[14.848824261677894],"[(339.543903287196, 214.630219349104, 11.9811618341511)]",[244.34052764304408]
40,CT16,11,0012,9.30075657185,1,"[(95.1521238219893, 111.827719495448, 12.0250007761554)]",[45.088027980204096],"[(339.543903287196, 214.630219349104, 11.9811618341511)]",[217.45233431041635]
41,CT16,11,0022,5.15065279514,0,[],[],"[(304.917920160146, 268.749843076843, 22.675891888431), (301.757660465351, 316.378019784326, 21.7088620649236), (274.850269829035, 278.474172882313, 22.1364415230336), (315.755761986799, 329.323408774534, 21.1853864683246)]","[67.95706126024803, 104.20289056492305, 57.94201178434506, 122.63990558450082]"
42,CT16,11,0022,9.45006302077,0,[],[],"[(304.917920160146, 268.749843076843, 22.675891888431), (301.757660465351, 316.378019784326, 21.7088620649236), (274.850269829035, 278.474172882313, 22.1364415230336), (315.755761986799, 329.323408774534, 21.1853864683246)]","[40.50531349528075, 85.31320200995427, 39.739546414115864, 101.34644375855972]"
43,CT16,11,0021,5.24161070561,2,"[(301.757660465351, 316.378019784326, 21.7088620649236), (315.755761986799, 329.323408774534, 21.1853864683246)]","[28.296585772108326, 9.925536721026052]","[(223.023547558858, 178.874012467983, 20.8169409888687), (353.171170037522, 229.813708204887, 20.9091933384716), (262.912933682838, 173.276780206953, 20.222015430064)]","[99.90330897978932, 53.58684259039545, 91.54132647043033]"
44,CT16,11,0021,8.79641426739,2,"[(301.757660465351, 316.378019784326, 21.7088620649236), (315.755761986799, 329.323408774534, 21.1853864683246)]","[48.198183004090275, 30.09310366665591]","[(223.023547558858, 178.874012467983, 20.8169409888687), (353.171170037522, 229.813708204887, 20.9091933384716), (262.912933682838, 173.276780206953, 20.222015430064)]","[67.46499120170392, 42.96138585483521, 57.843976011622665]"
